HCP_Id__c,Name,Item_Code__c,Version__c,Is_Active__c,Kind__c,Job_Type__c,Service_Type__c,Category__c,Description__c,Unit_of_Measure__c,Default_Quantity__c,Labor_Price__c,Labor_Cost__c,Material_Price__c,Material_Cost__c,Taxable__c,Client__c
olit_da3c25a454514a68b3a264e78291401f,Install customer supplied ceiling fan on existing box,SVC-ELEC-0011,1,false,Labor,Electrical,Installation,Ceiling Fans,"We'll expertly mount your provided ceiling fan onto your existing box, ensuring optimal functionality and airflow in your space.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_2d83a235d858445dade047a28f5370e6,Install customer supplied ceiling fan with light on existing box,SVC-ELEC-0012,1,false,Labor,Electrical,Installation,Ceiling Fans,Upgrade your room with a ceiling fan and light combo on the existing box. Our precise installation guarantees efficient air circulation and enhanced lighting.,Each,1,0,,,,false,a1W7y000007AszBEAS
olit_ca453ae508674d438c7eb4b19b677493,Furnish and install generic ball standard mount ceiling fan,SVC-ELEC-0013,1,false,Labor,Electrical,Installation,Ceiling Fans,Enjoy improved air circulation with our installation of a standard mount ceiling fan. It enhances energy efficiency and provides reliable comfort year-round.,Each,1,0,,,,false,a1W7y000007AszBEAS
olit_7e981f7437414455a89b2f9b0236abe3,Furnish and install generic ball standard mount ceiling fan and light combinatio,SVC-ELEC-0014,1,false,Labor,Electrical,Installation,Ceiling Fans,Elevate your room's comfort with a ceiling fan and light combo installation. This upgrade combines effective air movement with enhanced lighting options for any space.,Each,1,0,,,,false,a1W7y000007AszBEAS
olit_524d4b376cbb4327ac5d8f6cc1ace765,Install fan control switch,SVC-ELEC-0015,1,false,Labor,Electrical,Installation,Ceiling Fans,"Optimize your ceiling fan's performance with a professionally installed control switch. It offers convenient speed adjustments, ensuring precise airflow and energy efficiency.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a0d76e58fc024179a06bbac36bc2178a,"Replace all breakers and load center, 30 circuit 200 amp labeled",SVC-ELEC-0016,1,false,Labor,Electrical,Repair,Circuit Breakers,"Upgrade to a 30-circuit, 200-amp load center with new breakers. Our pros ensure accurate labeling and improved electrical safety and reliability for your home.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_575843abae444d3bac98c03be714e9e0,"Replace all breakers and load center, 40 circuit 200 amp labeled",SVC-ELEC-0017,1,false,Labor,Electrical,Repair,Circuit Breakers,"Enhance your electrical system with a 40-circuit, 200-amp load center replacement. Our experts provide precise labeling and robust protection for efficient power distribution.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_3d49a9de0a654c90965e768e6674b5df,"Replace all breakers and load center, 30 circuit 150 amp labeled",SVC-ELEC-0018,1,false,Labor,Electrical,Repair,Circuit Breakers,"Upgrade to a 30-circuit, 150-amp load center with new breakers. We ensure accurate labeling for improved electrical safety and performance in your home.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_4a1998dea5f3447fbfe6dbbc6999a5fd,"Replace main lug load center, 30 circuit 200 amp labeled",SVC-ELEC-0019,1,false,Labor,Electrical,Repair,Circuit Breakers,"Replace your main lug load center with a 30-circuit, 200-amp unit. Our professionals ensure proper installation and labeling for enhanced electrical management and safety.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a78ef51ee5524f269e19a7e784b4eff0,"Replace all breakers and load center, 20 circuit 100 amp labeled",SVC-ELEC-0020,1,false,Labor,Electrical,Repair,Circuit Breakers,"Upgrade to a 20-circuit, 100-amp load center with new breakers. Our service includes precise labeling and enhanced protection for efficient and safe power distribution.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_c78658a975fc455789c8f286a000b05b,"Replace outdoor main breaker load center, 40 circuit 200 amp labeled",SVC-ELEC-0021,1,false,Labor,Electrical,Repair,Circuit Breakers,"Replace your outdoor load center with a 40-circuit, 200-amp main breaker. Our pros ensure accurate labeling and robust protection against the elements for safe power distribution.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_71fbb2173e614636a9accefa9540b2d6,"Replace main lug load center, 20 circuit 125 amp labeled",SVC-ELEC-0022,1,false,Labor,Electrical,Repair,Circuit Breakers,"Upgrade your main lug load center to a 20-circuit, 125-amp unit. We provide precise installation and labeling for improved electrical system management and safety.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_6764ea7ef80249258b27986f0a525aa8,Replace 15 or 20A 120V receptacle outlet,SVC-ELEC-0023,1,false,Labor,Electrical,Repair,Receptacle Replacement,"Upgrade your electrical outlets to handle higher currents safely. Our pros replace outdated receptacles with new ones rated for either 15 or 20 amps, ensuring reliable power for all your devices.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_3e5b4322bfa2436eb4a812163360c027,Replace 15A 120V 2 wire receptacle with 3 wire receptacle,SVC-ELEC-0024,1,false,Labor,Electrical,Repair,Receptacle Replacement,"Update your home's wiring for increased safety and functionality. We'll replace old 2-wire outlets with new 3-wire receptacles, providing a more stable electrical connection for modern appliances.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_cb86d71997dc4fe5a2455dcb69d6d6fb,Replace 15A 120V 2 wire receptacle with GFCI receptacle indoor,SVC-ELEC-0025,1,false,Labor,Electrical,Repair,Receptacle Replacement,"Enhance your indoor electrical safety with GFCI outlets. We'll replace older 2-wire receptacles with new GFCI outlets, offering advanced protection against electrical hazards like shocks and short circuits.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a617ec3f8a78471c908ec9a16283fce5,Replace 15A 120V receptacle with GFCI receptacle and outdoor cover,SVC-ELEC-0026,1,false,Labor,Electrical,Repair,Receptacle Replacement,"Upgrade outdoor outlets for improved safety and weather resistance. Our pros replace standard outlets with GFCI models and install durable outdoor covers, ensuring reliable power and protection against moisture.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_aa64e12b1da94cdeba67da91db1fc224,Repair a reverse polarity receptacle,SVC-ELEC-0027,1,false,Labor,Electrical,Repair,Receptacle Replacement,"Ensure your outlets are wired correctly to prevent electrical hazards. Our experts diagnose and repair reverse polarity issues, ensuring outlets are properly grounded for safe operation throughout your home",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_7b0f72c3622c4d43983448691fe630fb,Replace single pole switch,SVC-ELEC-0028,1,false,Labor,Electrical,Repair,Switch Replacement,"Upgrade your light switches for better control and efficiency. Our pros replace standard single pole switches, ensuring reliable operation and energy savings with modern, durable alternatives.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_3c3b74fb5cbb476dae8f42195f9b4cc2,Replace 3 way switch,SVC-ELEC-0029,1,false,Labor,Electrical,Repair,Switch Replacement,"Enhance convenience and lighting control with updated 3-way switches. We replace old switches to allow you to control lights from multiple locations, improving accessibility and functionality.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_8bca8bf90a614bc78389aded0dd9344a,Replace single pole 24 hour digital wall timer,SVC-ELEC-0030,1,false,Labor,Electrical,Repair,Switch Replacement,"Automate your home lighting with precision and energy efficiency. Our experts replace traditional switches with advanced digital timers, offering programmable settings for optimal lighting control.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_41b10225eab74795a8db2d5abcb4197b,Replace double pole switch,SVC-ELEC-0031,1,false,Labor,Electrical,Repair,Switch Replacement,"Upgrade to secure and efficient double pole switches for high-power appliances. Our pros replace outdated switches with new double pole models, ensuring safe operation and durability for heavy-duty use.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_c95ca2ab0d6f42c7aecb5eff21546ae7,Replace 4 way switch,SVC-ELEC-0032,1,false,Labor,Electrical,Repair,Switch Replacement,"Optimize control over complex lighting setups with upgraded 4-way switches. We replace existing switches to provide seamless operation from multiple locations, enhancing convenience and functionality.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_1217730767074345b2a0c29d408b3354,Replace or install 600W single pole Ariadni dimmer,SVC-ELEC-0033,1,false,Labor,Electrical,Repair,Dimmer,"Upgrade your home's ambiance with a modern dimmer switch. Our pros install or replace Ariadni dimmers, allowing you to adjust lighting levels smoothly and save energy with precise control.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_25181e1836c541978f3bee51b994598b,Replace or install 600W single pole Diva dimmer,SVC-ELEC-0034,1,false,Labor,Electrical,Repair,Dimmer,"Enhance your lighting control with a stylish and efficient Diva dimmer switch. We install or replace these dimmers, offering seamless adjustment of brightness levels to suit any mood or occasion.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_24ea72dd801d491c96644bced6064467,Replace or install 600W 3-way Ariadni dimmer,SVC-ELEC-0035,1,false,Labor,Electrical,Repair,Dimmer,"Enjoy enhanced lighting flexibility with a 3-way Ariadni dimmer switch. Our experts install or replace these dimmers, enabling convenient control of lights from multiple locations with ease.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_9b284484088d43d0baada62970dd0b51,Replace or install 1000W single pole Diva dimmer,SVC-ELEC-0036,1,false,Labor,Electrical,Repair,Dimmer,"Upgrade to a high-capacity Diva dimmer for powerful lighting control. We install or replace these dimmers, providing smooth operation and energy savings for larger rooms or brighter settings.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_6e2cee2b4ec14049b2af5a7cd48228ab,Replace or install 1000W 3-way Skylark dimmer,SVC-ELEC-0037,1,false,Labor,Electrical,Repair,Dimmer,"Achieve superior lighting control with a 3-way Skylark dimmer switch. Our pros install or replace these dimmers, allowing you to adjust brightness levels from multiple switches, enhancing convenience and ambiance.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_f4505d4c7b2e49c98f3a26c13ba74261,Install new 120V hard wired smoke detector with battery backup,SVC-ELEC-0038,1,false,Labor,Electrical,Installation,Smoke Detectors,"Enhance your home's safety with a new hardwired smoke detector. Our pros install devices that connect directly to your electrical system, ensuring continuous protection with backup battery support.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a68091b8b70547c1a37a6481751cbf08,Replace 120V hard wired smoke detector with battery backup,SVC-ELEC-0039,1,false,Labor,Electrical,Repair,Smoke Detectors,"Upgrade your smoke detection system for reliable home safety. We replace old detectors with new, hardwired models featuring battery backups, ensuring continuous monitoring and peace of mind.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_1c7ff94351bf42dd9dfb63e191a4248a,Install new 120V hard wired carbon monoxide detector,SVC-ELEC-0040,1,false,Labor,Electrical,Installation,Smoke Detectors,"Protect your family from carbon monoxide with a new, hardwired detector. Our experts install devices that integrate into your home's electrical system, providing constant monitoring for early detection.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_2db23994225f4d2bb638e92c9c2d6a43,"Install 6"" round, black or white, no access",SVC-ELEC-0041,1,false,Labor,Electrical,Installation,Recessed Lighting,"Upgrade your ceiling with sleek 6-inch round lighting. Our pros install these fixtures without the need for ceiling access, enhancing your home's ambiance with modern, stylish lighting options.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_68ef626c1317480b9cce7172b35feb89,"Install 6"" round, black or white, access from above",SVC-ELEC-0042,1,false,Labor,Electrical,Installation,Recessed Lighting,"Enjoy easy installation and enhanced lighting with 6-inch round fixtures. We ensure seamless integration by accessing your ceiling from above, providing efficient and attractive lighting solutions.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_e450962fd11e493fb5e5a796293e4b58,"Install 4"" round, black or white, no access",SVC-ELEC-0043,1,false,Labor,Electrical,Installation,Recessed Lighting,"Add subtle yet effective lighting with 4-inch round fixtures. Our experts install these compact lights without ceiling access, offering versatile illumination to complement any room decor.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_d2264554dcc04642bb80eee80ba49a32,"Install 5"" round, black or white, no access",SVC-ELEC-0044,1,false,Labor,Electrical,Installation,Recessed Lighting,"Enhance your home's lighting with 5-inch round fixtures. Our pros install these stylish lights without needing access to your ceiling, providing efficient and modern illumination for any space.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_44a91308658e46ea9b6f9d702756ae20,"Install wall washer fixture, no access",SVC-ELEC-0045,1,false,Labor,Electrical,Installation,Recessed Lighting,"Illuminate your walls with precision and style using wall washer fixtures. We install these lights without ceiling access, ensuring even distribution of light to highlight artwork and architectural features.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_2876018bc0154f668afc1df0b7e99831,Install surface mount quartz flood light at existing location 500W,SVC-ELEC-0046,1,false,Labor,Electrical,Installation,Outdoor Lighting,"Illuminate your outdoor space effectively with a powerful quartz floodlight. Our pros install 500W lights at existing locations, providing enhanced security and visibility after dark with energy-efficient lighting.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_c62eab90fc5943a696cf43574642c4ec,Install wall mounted porch light at existing location,SVC-ELEC-0047,1,false,Labor,Electrical,Installation,Outdoor Lighting,"Enhance your home's entryway with a stylish wall-mounted porch light. We install new lights at existing locations, offering improved curb appeal and nighttime safety with durable, weather-resistant fixtures.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a1b0bdedd8254737b830b29e69a78073,Install motion detector on existing fixture,SVC-ELEC-0048,1,false,Labor,Electrical,Installation,Outdoor Lighting,"Add convenience and security with a motion detector for your existing fixture. Our experts integrate sensors for automatic lighting, enhancing energy efficiency and deterring intruders with responsive, hands-free illumination.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_989745c6fca94740a61608093f7e0f39,"Install post light with 100W fixture head, up to 25 ft from house, white or blac",SVC-ELEC-0049,1,false,Labor,Electrical,Installation,Outdoor Lighting,"Brighten pathways and driveways with a post light installation up to 25 feet from your home. We offer 100W fixture heads in white or black, ensuring stylish outdoor lighting that extends safety and aesthetics.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_5f92eed902144c808f968486131df3dc,Install new feed and box for outside fixture,SVC-ELEC-0050,1,false,Labor,Electrical,Installation,Outdoor Lighting,"Ensure reliable power for your outdoor lighting with a new feed and box installation. Our pros enhance electrical connections, enabling safe and efficient operation for your exterior fixtures, rain or shine.",Each,1,0,,,,false,a1W7y000007AszBEAS
olit_7e6844a02f554911901cf2f178e2b814,Installation - Solar system,SVC-SOLAR-0001,1,true,Labor,Solar,Installation,Service Call,Expert installation service for solar system,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_d9b37b5c883f45a3bae1c069012610ba,Installation - Solar inverter,SVC-SOLAR-0002,1,true,Labor,Solar,Installation,Service Call,Expert installation service for solar inverter,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_194449a851f042bca20934e88329b772,Installation - Solar Panel,SVC-SOLAR-0003,1,true,Labor,Solar,Installation,Service Call,Expert installation service for solar panel,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_87017ee1f98c4ed095f8adcac2ea9654,Installation - Electric vehicle (EV) charging station,SVC-EV-0001,1,true,Labor,EV,Installation,Service Call,Expert installation service for electric vehicle (EV) charging station,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_e00b1355904047189877f2e5f959191c,Installation - Something else / I don't know,SVC-GEN-0001,1,true,Labor,,Installation,Service Call,Expert installation service for solar systems,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_7531caf19be64189bec4e4fe5ee2a2d6,Repair - Solar system,SVC-SOLAR-0004,1,true,Labor,Solar,Repair,Service Call,Expert repair service for solar system,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_cf053b664ffb426eb66716d999010507,Repair - Solar inverter,SVC-SOLAR-0005,1,true,Labor,Solar,Repair,Service Call,Expert repair service for solar inverter,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_1050ae4d00c44c9680aac50e45c1fe51,Repair - Solar Panel,SVC-SOLAR-0006,1,true,Labor,Solar,Repair,Service Call,Expert repair service for solar panel,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_e9d0fe10f6224925842b2bc04b999daf,Repair - Electric vehicle (EV) charging station,SVC-EV-0002,1,true,Labor,EV,Repair,Service Call,Expert repair service for electric vehicle (EV) charging station,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_92a1ad0dfced428896d4e9afdb86527b,Repair - Something else / I don't know,SVC-GEN-0002,1,true,Labor,,Repair,Service Call,Expert repair service for solar systems,Each,1,800,,,,false,a1W7y000007AszBEAS
olit_e0c7ce97cc424546b4c9512ecd113539,Solar Disconnect,SVC-SOLAR-0007,1,true,Labor,Solar,Repair,Electrical,,Each,1,95,82.54,,,false,a1W7y000007AszBEAS
olit_cc89118ce6cf4726b1b488bd0975c8f3,SunRun Standard Truck Roll,SVC-SOLAR-0008,1,true,Labor,Solar,Repair,Service Call,"Our SunRun Standard Truck Roll includes a professional visit by a certified technician to assess, diagnose, or maintain your solar system. Ensure optimal performance, address concerns quickly, and keep your investment running efficiently and safely.",Each,1,168,,,,false,a1W7y000007AszBEAS
olit_249ec7e14a54411cbcf62502febc0086,SunRun Troubleshooting (inverter),SVC-SOLAR-0009,1,true,Labor,Solar,Repair,Inverter,"Ensure your solar energy system runs efficiently with our professional inverter troubleshooting service. We diagnose and resolve inverter issues, restoring optimal performance, maximizing energy savings, and protecting your investment.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_2760610c9b5341abb943499e7e12f18c,SunRun Troubleshooting (full system),SVC-SOLAR-0010,1,true,Labor,Solar,Repair,Solar Repair,"Our full system troubleshooting service ensures your solar and energy systems operate at peak performance. We diagnose issues, check all components, and provide expert solutions to maximize efficiency, reliability, and energy savings for your home.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_4ffd695a898b493eb07381a51f5b3be7,SunRun Troubleshooting (optimizer/micro inverter),SVC-SOLAR-0011,1,true,Labor,Solar,Repair,Inverter,"Ensure your solar system operates at peak performance with professional troubleshooting for optimizers or micro inverters. Quickly identify and resolve issues to maximize energy output, improve reliability, and protect your investment in clean energy.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_dc2e2598178f4eb498c27dd31a24260a,SunRun Troubleshooting (battery),SVC-SOLAR-0012,1,true,Labor,Solar,Repair,Solar Repair,"Our battery troubleshooting service diagnoses and resolves issues with your solar energy storage system. Ensure reliable backup power, optimize battery performance, and protect your investment with expert care and fast solutions.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_d1bcd26e7ae9496bbb2eb69573df7007,SunRun Troubleshooting (CT),SVC-SOLAR-0013,1,true,Labor,Solar,Repair,Monitoring,"Our expert troubleshooting service quickly diagnoses and resolves issues with your solar or energy system. Ensure maximum efficiency, safety, and energy savings by addressing problems early — protecting your investment and peace of mind.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_eb1d1e42ae8d421db5d681763bc17128,SunRun RMA (Inverter),SVC-SOLAR-0014,1,true,Labor,Solar,Repair,RMA,"Our Inverter RMA (Return Merchandise Authorization) service ensures faulty inverters are expertly managed and replaced with minimal downtime. Keep your solar system running smoothly and efficiently, protecting your energy investment and savings.",Each,1,250,,,,false,a1W7y000007AszBEAS
olit_9ac5cf4f8ef541029bfe13b783d03e54,SunRun RMA (micro/optimizer),SVC-SOLAR-0015,1,true,Labor,Solar,Repair,RMA,"If your solar system's microinverter or optimizer fails, our RMA (Return Merchandise Authorization) service ensures quick replacement and minimal downtime. Maintain peak system performance and protect your investment with our expert support.",Each,1,400,,,,false,a1W7y000007AszBEAS
olit_6cb6b3cb8eb8438f9f235eb3274c3dae,SunRun RMA (Communication),SVC-SOLAR-0016,1,true,Labor,Solar,Repair,RMA,"Ensure your solar system stays connected and performing at its best with our RMA (Communication) service. We troubleshoot and replace faulty communication devices, keeping your monitoring system reliable and your energy savings on track.",Each,1,150,,,,false,a1W7y000007AszBEAS
olit_f43537a550a246488613ca7e6aa940d6,SunRun RMA (Battery),SVC-SOLAR-0017,1,true,Labor,Solar,Repair,RMA,"Our Battery RMA (Return Merchandise Authorization) service ensures safe, efficient replacement or repair of faulty solar batteries. Reliable batteries are crucial for uninterrupted solar energy. Trust us to restore your system's performance and peace of mind.",Each,1,350,,,,false,a1W7y000007AszBEAS
olit_097b756114434edbba951a3fbee7a104,SunRun String down/ Isolation fault,SVC-SOLAR-0018,1,true,Labor,Solar,Repair,Solar Repair,"A SunRun string down or isolation fault means a section of your solar array isn — t producing power due to a wiring or inverter issue. Prompt service restores system performance, maximizes your energy savings, and ensures safe operation of your solar investment.",Each,1,500,,,,false,a1W7y000007AszBEAS
olit_bd95fbc972384034855c89b9f56a3f5e,Standard Service Call,SVC-SOLAR-0019,1,true,Labor,Solar,Repair,Service Call,"Our Standard Service Call includes expert troubleshooting and diagnostics for your solar or energy system. We ensure optimal performance, address concerns, and provide professional solutions — helping you maximize efficiency and protect your investment.",Each,1,275,,,,false,a1W7y000007AszBEAS
olit_2780b0aecfef417a858d7bdd442e54b5,Engineering,SVC-SOLAR-0020,1,true,Fee,Solar,Repair,Permit & Design,,Each,1,100,,,,false,a1W7y000007AszBEAS
olit_671865c5f5f3441b8addfc6804e346ca,SunRun Meter,SVC-SOLAR-0021,1,true,Labor,Solar,Repair,Monitoring,,Each,1,395,,,,false,a1W7y000007AszBEAS
olit_358a00e16c134ec788c543932f0b4483,Labor Rate,SVC-SOLAR-0022,1,true,Labor,Solar,Repair,Service Call,"Covers the skilled labor required to complete your project efficiently and safely. This rate ensures all work is performed to high standards, giving you peace of mind and quality results while saving you time and effort.",Each,1,120,,,,false,a1W7y000007AszBEAS
olit_1d6c58dd5a55415fb142ca3f0213990e,Phoenix Trip Charge,SVC-SOLAR-0023,1,true,Fee,Solar,Repair,Service Call,"Covers the cost of travel and transportation for our technician to and from your Phoenix area property, ensuring timely service and efficient delivery of materials or repairs right at your location. This fee supports reliable, local service.",Each,1,80,,,,false,a1W7y000007AszBEAS
olit_02ef5e5242db4c39993a715b8fda4386,APS Standard Truck Roll,SVC-SOLAR-0024,1,true,Labor,Solar,Repair,Service Call,"A technician will visit your property to assess, maintain, or repair your system, ensuring prompt, professional service and minimizing downtime. This on-site support delivers peace of mind and helps keep your equipment running smoothly.",Each,1,210,,,,false,a1W7y000007AszBEAS
olit_8216a82749d6423792413bfb1d6b099e,Warranty Repair,SVC-SOLAR-0025,1,true,Labor,Solar,Repair,Solar Repair,"Warranty repair service restores covered items to proper working condition, ensuring your home remains comfortable and functional while protecting your investment and providing peace of mind.",Each,1,150,,,,false,a1W7y000007AszBEAS
olit_e3ae1085da3144928b600e785365639d,Non Warranty Repair,SVC-SOLAR-0026,1,true,Labor,Solar,Repair,Solar Repair,"Professional repair service to address issues not covered by warranty, restoring proper function and ensuring reliability. This work helps prevent further damage and prolongs the lifespan of your system or equipment, providing peace of mind and continued comfort.",Each,1,150,,,,false,a1W7y000007AszBEAS
olit_83a230550d964a5dbde47afc172f9e7a,Discounted Labor - O&M customer,SVC-SOLAR-0027,1,true,Labor,Solar,Repair,Service Call,,Each,1,310,,,,false,a1W7y000007AszBEAS
olit_ff0d6197d0d640e5add175dd20d6fee3,SMA -RMA ADDITIONAL,SVC-SOLAR-0028,1,false,Labor,Solar,Repair,RMA,,Each,1,0,,,,false,a1W7y000007AszBEAS
olit_a174ef930f7f4595884c0baa15a1a57b,SMA - RMA TIGOS - FLIPPED 25 REPLACED 14,SVC-SOLAR-0029,1,true,Labor,Solar,Repair,RMA,,Each,1,150,,,,false,a1W7y000007AszBEAS
olit_6eea0947f0ec428baa7a47393ca53f8c,Quoted - Removal-Reinstall,SVC-SOLAR-0030,1,true,Labor,Solar,Repair,Quoted Work,,Each,1,6300,,,,false,a1W7y000007AszBEAS
olit_00f30d484e7c44f1bc08c425ffd7dd02,Quoted - Roof repair,SVC-SOLAR-0031,1,true,Labor,Solar,Repair,Quoted Work,,Each,1,1940,,,,false,a1W7y000007AszBEAS
olit_d62bc381013a47eaac6963a4412c5fad,Spruce - System Inspection - 100-AZ,SVC-SOLAR-0032,1,true,Labor,Solar,Repair,Inspection,,Each,1,391,,,,false,a1W7y000007AszBEAS
