industry,industry_uuid,category,subcategory_1,subcategory_2,uuid,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ceiling Fans,"","",olit_da3c25a454514a68b3a264e78291401f,Install customer supplied ceiling fan on existing box,"We'll expertly mount your provided ceiling fan onto your existing box, ensuring optimal functionality and airflow in your space.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_10,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ceiling Fans,"","",olit_2d83a235d858445dade047a28f5370e6,Install customer supplied ceiling fan with light on existing box,Upgrade your room with a ceiling fan and light combo on the existing box. Our precise installation guarantees efficient air circulation and enhanced lighting.,$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_11,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ceiling Fans,"","",olit_ca453ae508674d438c7eb4b19b677493,Furnish and install generic ball standard mount ceiling fan,Enjoy improved air circulation with our installation of a standard mount ceiling fan. It enhances energy efficiency and provides reliable comfort year-round.,$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_12,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ceiling Fans,"","",olit_7e981f7437414455a89b2f9b0236abe3,Furnish and install generic ball standard mount ceiling fan and light combination,Elevate your room's comfort with a ceiling fan and light combo installation. This upgrade combines effective air movement with enhanced lighting options for any space.,$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_13,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Ceiling Fans,"","",olit_524d4b376cbb4327ac5d8f6cc1ace765,Install fan control switch,"Optimize your ceiling fan's performance with a professionally installed control switch. It offers convenient speed adjustments, ensuring precise airflow and energy efficiency.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_14,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_a0d76e58fc024179a06bbac36bc2178a,"Replace all breakers and load center, 30 circuit 200 amp labeled","Upgrade to a 30-circuit, 200-amp load center with new breakers. Our pros ensure accurate labeling and improved electrical safety and reliability for your home.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_15,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_575843abae444d3bac98c03be714e9e0,"Replace all breakers and load center, 40 circuit 200 amp labeled","Enhance your electrical system with a 40-circuit, 200-amp load center replacement. Our experts provide precise labeling and robust protection for efficient power distribution.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_16,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_3d49a9de0a654c90965e768e6674b5df,"Replace all breakers and load center, 30 circuit 150 amp labeled","Upgrade to a 30-circuit, 150-amp load center with new breakers. We ensure accurate labeling for improved electrical safety and performance in your home.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_17,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_4a1998dea5f3447fbfe6dbbc6999a5fd,"Replace main lug load center, 30 circuit 200 amp labeled","Replace your main lug load center with a 30-circuit, 200-amp unit. Our professionals ensure proper installation and labeling for enhanced electrical management and safety.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_18,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_a78ef51ee5524f269e19a7e784b4eff0,"Replace all breakers and load center, 20 circuit 100 amp labeled","Upgrade to a 20-circuit, 100-amp load center with new breakers. Our service includes precise labeling and enhanced protection for efficient and safe power distribution.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_19,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_c78658a975fc455789c8f286a000b05b,"Replace outdoor main breaker load center, 40 circuit 200 amp labeled","Replace your outdoor load center with a 40-circuit, 200-amp main breaker. Our pros ensure accurate labeling and robust protection against the elements for safe power distribution.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_20,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Circuit Breakers,"","",olit_71fbb2173e614636a9accefa9540b2d6,"Replace main lug load center, 20 circuit 125 amp labeled","Upgrade your main lug load center to a 20-circuit, 125-amp unit. We provide precise installation and labeling for improved electrical system management and safety.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_21,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Receptacle Replacement,"","",olit_6764ea7ef80249258b27986f0a525aa8,Replace 15 or 20A 120V receptacle outlet,"Upgrade your electrical outlets to handle higher currents safely. Our pros replace outdated receptacles with new ones rated for either 15 or 20 amps, ensuring reliable power for all your devices.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_22,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Receptacle Replacement,"","",olit_3e5b4322bfa2436eb4a812163360c027,Replace 15A 120V 2 wire receptacle with 3 wire receptacle,"Update your home's wiring for increased safety and functionality. We'll replace old 2-wire outlets with new 3-wire receptacles, providing a more stable electrical connection for modern appliances.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_23,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Receptacle Replacement,"","",olit_cb86d71997dc4fe5a2455dcb69d6d6fb,Replace 15A 120V 2 wire receptacle with GFCI receptacle indoor,"Enhance your indoor electrical safety with GFCI outlets. We'll replace older 2-wire receptacles with new GFCI outlets, offering advanced protection against electrical hazards like shocks and short circuits.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_24,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Receptacle Replacement,"","",olit_a617ec3f8a78471c908ec9a16283fce5,Replace 15A 120V receptacle with GFCI receptacle and outdoor cover,"Upgrade outdoor outlets for improved safety and weather resistance. Our pros replace standard outlets with GFCI models and install durable outdoor covers, ensuring reliable power and protection against moisture.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_25,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Receptacle Replacement,"","",olit_aa64e12b1da94cdeba67da91db1fc224,Repair a reverse polarity receptacle,"Ensure your outlets are wired correctly to prevent electrical hazards. Our experts diagnose and repair reverse polarity issues, ensuring outlets are properly grounded for safe operation throughout your home",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_26,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Switch Replacement,"","",olit_7b0f72c3622c4d43983448691fe630fb,Replace single pole switch,"Upgrade your light switches for better control and efficiency. Our pros replace standard single pole switches, ensuring reliable operation and energy savings with modern, durable alternatives.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_27,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Switch Replacement,"","",olit_3c3b74fb5cbb476dae8f42195f9b4cc2,Replace 3 way switch,"Enhance convenience and lighting control with updated 3-way switches. We replace old switches to allow you to control lights from multiple locations, improving accessibility and functionality.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_28,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Switch Replacement,"","",olit_8bca8bf90a614bc78389aded0dd9344a,Replace single pole 24 hour digital wall timer,"Automate your home lighting with precision and energy efficiency. Our experts replace traditional switches with advanced digital timers, offering programmable settings for optimal lighting control.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_29,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Switch Replacement,"","",olit_41b10225eab74795a8db2d5abcb4197b,Replace double pole switch,"Upgrade to secure and efficient double pole switches for high-power appliances. Our pros replace outdated switches with new double pole models, ensuring safe operation and durability for heavy-duty use.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_30,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Switch Replacement,"","",olit_c95ca2ab0d6f42c7aecb5eff21546ae7,Replace 4 way switch,"Optimize control over complex lighting setups with upgraded 4-way switches. We replace existing switches to provide seamless operation from multiple locations, enhancing convenience and functionality.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_31,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Dimmer,"","",olit_1217730767074345b2a0c29d408b3354,Replace or install 600W single pole Ariadni dimmer,"Upgrade your home's ambiance with a modern dimmer switch. Our pros install or replace Ariadni dimmers, allowing you to adjust lighting levels smoothly and save energy with precise control.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_32,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Dimmer,"","",olit_25181e1836c541978f3bee51b994598b,Replace or install 600W single pole Diva dimmer,"Enhance your lighting control with a stylish and efficient Diva dimmer switch. We install or replace these dimmers, offering seamless adjustment of brightness levels to suit any mood or occasion.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_33,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Dimmer,"","",olit_24ea72dd801d491c96644bced6064467,Replace or install 600W 3-way Ariadni dimmer,"Enjoy enhanced lighting flexibility with a 3-way Ariadni dimmer switch. Our experts install or replace these dimmers, enabling convenient control of lights from multiple locations with ease.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_34,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Dimmer,"","",olit_9b284484088d43d0baada62970dd0b51,Replace or install 1000W single pole Diva dimmer,"Upgrade to a high-capacity Diva dimmer for powerful lighting control. We install or replace these dimmers, providing smooth operation and energy savings for larger rooms or brighter settings.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_35,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Dimmer,"","",olit_6e2cee2b4ec14049b2af5a7cd48228ab,Replace or install 1000W 3-way Skylark dimmer,"Achieve superior lighting control with a 3-way Skylark dimmer switch. Our pros install or replace these dimmers, allowing you to adjust brightness levels from multiple switches, enhancing convenience and ambiance.""",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_36,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Smoke Detectors,"","",olit_f4505d4c7b2e49c98f3a26c13ba74261,Install new 120V hard wired smoke detector with battery backup,"Enhance your home's safety with a new hardwired smoke detector. Our pros install devices that connect directly to your electrical system, ensuring continuous protection with backup battery support.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_37,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Smoke Detectors,"","",olit_a68091b8b70547c1a37a6481751cbf08,Replace 120V hard wired smoke detector with battery backup,"Upgrade your smoke detection system for reliable home safety. We replace old detectors with new, hardwired models featuring battery backups, ensuring continuous monitoring and peace of mind.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_38,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Smoke Detectors,"","",olit_1c7ff94351bf42dd9dfb63e191a4248a,Install new 120V hard wired carbon monoxide detector,"Protect your family from carbon monoxide with a new, hardwired detector. Our experts install devices that integrate into your home's electrical system, providing constant monitoring for early detection.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_39,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Recessed Lighting,"","",olit_2db23994225f4d2bb638e92c9c2d6a43,"Install 6"" round, black or white, no access","Upgrade your ceiling with sleek 6-inch round lighting. Our pros install these fixtures without the need for ceiling access, enhancing your home's ambiance with modern, stylish lighting options.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_40,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Recessed Lighting,"","",olit_68ef626c1317480b9cce7172b35feb89,"Install 6"" round, black or white, access from above","Enjoy easy installation and enhanced lighting with 6-inch round fixtures. We ensure seamless integration by accessing your ceiling from above, providing efficient and attractive lighting solutions.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_41,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Recessed Lighting,"","",olit_e450962fd11e493fb5e5a796293e4b58,"Install 4"" round, black or white, no access","Add subtle yet effective lighting with 4-inch round fixtures. Our experts install these compact lights without ceiling access, offering versatile illumination to complement any room decor.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_42,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Recessed Lighting,"","",olit_d2264554dcc04642bb80eee80ba49a32,"Install 5"" round, black or white, no access","Enhance your home's lighting with 5-inch round fixtures. Our pros install these stylish lights without needing access to your ceiling, providing efficient and modern illumination for any space.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_43,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Recessed Lighting,"","",olit_44a91308658e46ea9b6f9d702756ae20,"Install wall washer fixture, no access","Illuminate your walls with precision and style using wall washer fixtures. We install these lights without ceiling access, ensuring even distribution of light to highlight artwork and architectural features.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_44,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Outdoor Lighting,"","",olit_2876018bc0154f668afc1df0b7e99831,Install surface mount quartz flood light at existing location 500W,"Illuminate your outdoor space effectively with a powerful quartz floodlight. Our pros install 500W lights at existing locations, providing enhanced security and visibility after dark with energy-efficient lighting.""",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_45,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Outdoor Lighting,"","",olit_c62eab90fc5943a696cf43574642c4ec,Install wall mounted porch light at existing location,"Enhance your home's entryway with a stylish wall-mounted porch light. We install new lights at existing locations, offering improved curb appeal and nighttime safety with durable, weather-resistant fixtures.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_46,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Outdoor Lighting,"","",olit_a1b0bdedd8254737b830b29e69a78073,Install motion detector on existing fixture,"Add convenience and security with a motion detector for your existing fixture. Our experts integrate sensors for automatic lighting, enhancing energy efficiency and deterring intruders with responsive, hands-free illumination.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_47,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Outdoor Lighting,"","",olit_989745c6fca94740a61608093f7e0f39,"Install post light with 100W fixture head, up to 25 ft from house, white or black","Brighten pathways and driveways with a post light installation up to 25 feet from your home. We offer 100W fixture heads in white or black, ensuring stylish outdoor lighting that extends safety and aesthetics.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_48,false
Electrical,ind_600204be061340dabf33d97e8db5c0b9,Outdoor Lighting,"","",olit_5f92eed902144c808f968486131df3dc,Install new feed and box for outside fixture,"Ensure reliable power for your outdoor lighting with a new feed and box installation. Our pros enhance electrical connections, enabling safe and efficient operation for your exterior fixtures, rain or shine.",$0.00,$0.00,false,,DEFAULT_ELECTRICAL_SERVICE_49,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Installation,Solar,olit_7e6844a02f554911901cf2f178e2b814,Installation - Solar system,Expert installation service for solar system,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_1,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Installation,Solar,olit_d9b37b5c883f45a3bae1c069012610ba,Installation - Solar inverter,Expert installation service for solar inverter,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_2,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Installation,Solar,olit_194449a851f042bca20934e88329b772,Installation - Solar Panel,Expert installation service for solar panel,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_3,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Installation,EV,olit_87017ee1f98c4ed095f8adcac2ea9654,Installation - Electric vehicle (EV) charging station,Expert installation service for electric vehicle (EV) charging station,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_4,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Installation,Other,olit_e00b1355904047189877f2e5f959191c,Installation - Something else / I don't know,Expert installation service for solar systems,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_5,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_7531caf19be64189bec4e4fe5ee2a2d6,Repair - Solar system,Expert repair service for solar system,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_6,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_cf053b664ffb426eb66716d999010507,Repair - Solar inverter,Expert repair service for solar inverter,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_7,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_1050ae4d00c44c9680aac50e45c1fe51,Repair - Solar Panel,Expert repair service for solar panel,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_8,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,EV,olit_e9d0fe10f6224925842b2bc04b999daf,Repair - Electric vehicle (EV) charging station,Expert repair service for electric vehicle (EV) charging station,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_9,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Other,olit_92a1ad0dfced428896d4e9afdb86527b,Repair - Something else / I don't know,Expert repair service for solar systems,$800.00,$0.00,false,"",DEFAULT_SOLAR_SERVICE_10,false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_e0c7ce97cc424546b4c9512ecd113539,Solar Disconnect ,"",$95.00,$82.54,false,"","",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_cc89118ce6cf4726b1b488bd0975c8f3,SunRun Standard Truck Roll,"Our SunRun Standard Truck Roll includes a professional visit by a certified technician to assess, diagnose, or maintain your solar system. Ensure optimal performance, address concerns quickly, and keep your investment running efficiently and safely.",$168.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_249ec7e14a54411cbcf62502febc0086,SunRun Troubleshooting (inverter),"Ensure your solar energy system runs efficiently with our professional inverter troubleshooting service. We diagnose and resolve inverter issues, restoring optimal performance, maximizing energy savings, and protecting your investment.",$350.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_2760610c9b5341abb943499e7e12f18c,SunRun Troubleshooting (full system),"Our full system troubleshooting service ensures your solar and energy systems operate at peak performance. We diagnose issues, check all components, and provide expert solutions to maximize efficiency, reliability, and energy savings for your home.",$350.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_4ffd695a898b493eb07381a51f5b3be7,SunRun Troubleshooting (optimizer/micro inverter),"Ensure your solar system operates at peak performance with professional troubleshooting for optimizers or micro inverters. Quickly identify and resolve issues to maximize energy output, improve reliability, and protect your investment in clean energy.",$350.00,$0.00,false,"","",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_dc2e2598178f4eb498c27dd31a24260a,SunRun Troubleshooting (battery),"Our battery troubleshooting service diagnoses and resolves issues with your solar energy storage system. Ensure reliable backup power, optimize battery performance, and protect your investment with expert care and fast solutions.",$350.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_d1bcd26e7ae9496bbb2eb69573df7007,SunRun Troubleshooting (CT),"Our expert troubleshooting service quickly diagnoses and resolves issues with your solar or energy system. Ensure maximum efficiency, safety, and energy savings by addressing problems early?protecting your investment and peace of mind.",$350.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_eb1d1e42ae8d421db5d681763bc17128,SunRun RMA (Inverter),"Our Inverter RMA (Return Merchandise Authorization) service ensures faulty inverters are expertly managed and replaced with minimal downtime. Keep your solar system running smoothly and efficiently, protecting your energy investment and savings.",$250.00,$0.00,false,"","",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_9ac5cf4f8ef541029bfe13b783d03e54,SunRun RMA (micro/optimizer),"If your solar system's microinverter or optimizer fails, our RMA (Return Merchandise Authorization) service ensures quick replacement and minimal downtime. Maintain peak system performance and protect your investment with our expert support.",$400.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_6cb6b3cb8eb8438f9f235eb3274c3dae,SunRun RMA (Communication),"Ensure your solar system stays connected and performing at its best with our RMA (Communication) service. We troubleshoot and replace faulty communication devices, keeping your monitoring system reliable and your energy savings on track.",$150.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_f43537a550a246488613ca7e6aa940d6,SunRun RMA (Battery),"Our Battery RMA (Return Merchandise Authorization) service ensures safe, efficient replacement or repair of faulty solar batteries. Reliable batteries are crucial for uninterrupted solar energy. Trust us to restore your system?s performance and peace of mind.",$350.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_097b756114434edbba951a3fbee7a104,SunRun String down/ Isolation fault,"A SunRun string down or isolation fault means a section of your solar array isn?t producing power due to a wiring or inverter issue. Prompt service restores system performance, maximizes your energy savings, and ensures safe operation of your solar investment.",$500.00,$0.00,false,"","",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_bd95fbc972384034855c89b9f56a3f5e,Standard Service Call,"Our Standard Service Call includes expert troubleshooting and diagnostics for your solar or energy system. We ensure optimal performance, address concerns, and provide professional solutions?helping you maximize efficiency and protect your investment.",$275.00,$0.00,false,Each,"",false
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_2780b0aecfef417a858d7bdd442e54b5,Engineering,"",$100.00,$0.00,false,,,true
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_671865c5f5f3441b8addfc6804e346ca,SunRun Meter,"",$395.00,$0.00,false,,,true
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_358a00e16c134ec788c543932f0b4483,Labor Rate,"Covers the skilled labor required to complete your project efficiently and safely. This rate ensures all work is performed to high standards, giving you peace of mind and quality results while saving you time and effort.",$120.00,$0.00,false,,,true
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_1d6c58dd5a55415fb142ca3f0213990e,Phoenix Trip Charge,"Covers the cost of travel and transportation for our technician to and from your Phoenix area property, ensuring timely service and efficient delivery of materials or repairs right at your location. This fee supports reliable, local service.",$80.00,$0.00,false,,,true
Solar & Energy,ind_e26bc85903974fa3b93a39be626aeebb,Solar & Energy,Repair,Solar,olit_02ef5e5242db4c39993a715b8fda4386,APS Standard Truck Roll,"A technician will visit your property to assess, maintain, or repair your system, ensuring prompt, professional service and minimizing downtime. This on-site support delivers peace of mind and helps keep your equipment running smoothly.",$210.00,$0.00,false,,,true
